ID,Kernel Name,Compute throughput,SM,Memory throughput,DRAM throughput,Achieved occupancy,Maximum occupancy,L1 hit rate,L2 hit rate
523,ampere_sgemm_64x32_sliced1x4_nt,82.25,108,46.87,5.98,20.82,25,0.08,81.44
524,reduce_kernel,9.48,108,32.31,32.31,41.75,62.50,8.28,6.95
525,vectorized_elementwise_kernel,0.02,108,0.50,0.09,6.20,100,0,89.92
526,vectorized_elementwise_kernel,4.05,108,22.92,18.49,42.11,100,0,53.50
527,vectorized_elementwise_kernel,6.43,108,75.42,75.42,87.96,100,0,45.88
528,reduce_kernel,75.74,108,23.92,23.92,90.17,100,10.44,8.50
529,elementwise_kernel,6.06,108,12.43,3.18,20.37,100,0,86.65
530,vectorized_elementwise_kernel,14.50,108,24.17,4.41,9.03,100,0,101.50
531,fmha_cutlassB_f32_aligned_64x64_k64_dropout_sm80,37.35,108,30.47,11.23,12.17,12.50,17.03,81.59
532,CatArrayBatchedCopy_aligned16_contig,57.69,108,75.29,75.29,90.74,100,60.00,63.03
533,ampere_sgemm_128x32_tn,88.68,108,80.06,2.26,45.64,50,0.18,97.11
534,ampere_sgemm_128x32_sliced1x4_nt,98.08,108,40.39,4.94,12.50,12.50,0,85.08
535,reduce_kernel,12.16,108,52.16,52.16,55.50,62.50,6.39,19.94
536,vectorized_elementwise_kernel,0.04,108,0.55,0.17,6.20,100,0,84.04
537,vectorized_elementwise_kernel,6.30,108,39.71,33.12,67.76,100,0,51.98
538,layer_norm_grad_input_kernel_vectorized,37.21,108,65.68,65.68,65.08,75,44.45,53.87
539,GammaBetaBackwardCUDAKernel_32x32,12.20,108,38.40,38.40,49.91,100,0.09,19.16
540,vectorized_elementwise_kernel,6.63,108,70.66,70.66,88.32,100,29.16,40.76
541,vectorized_elementwise_kernel,0.02,108,0.51,0.09,6.17,100,0,90.03
542,vectorized_elementwise_kernel,0.02,108,0.50,0.09,6.19,100,0,91.17
543,vectorized_elementwise_kernel,15.37,108,68.39,68.39,85.07,100,0,53.79
544,ampere_sgemm_128x64_tn,95.87,108,48.16,2.05,23.96,25,0.36,98.60
545,ampere_sgemm_128x128_nt,98.51,108,31.90,4.00,23.45,25,0.04,77.86
546,reduce_kernel,9.06,108,31.97,31.97,41.76,62.50,8.27,7.05
547,vectorized_elementwise_kernel,0.02,108,0.49,0.09,6.21,100,0,89.82
548,vectorized_elementwise_kernel,7.29,108,45.11,37.88,73.16,100,0,51.46
549,vectorized_elementwise_kernel,6.49,108,86.83,86.83,91.92,100,0,49.09
550,vectorized_elementwise_kernel,6.48,108,87.13,87.13,92.14,100,0,48.85
551,vectorized_elementwise_kernel,7.82,108,86.79,86.79,92.05,100,0,49.09
552,vectorized_elementwise_kernel,8.58,108,84.44,84.44,88.55,100,0,61.87
553,vectorized_elementwise_kernel,8.51,108,84.28,84.28,88.49,100,0,61.14
554,vectorized_elementwise_kernel,8.57,108,83.74,83.74,89.18,100,0,61.56
555,vectorized_elementwise_kernel,8.61,108,83.76,83.76,88.52,100,0,61.55
556,vectorized_elementwise_kernel,6.49,108,86.74,86.74,91.84,100,0,48.99
557,vectorized_elementwise_kernel,6.48,108,85.62,85.62,91.86,100,27.51,44.14
558,vectorized_elementwise_kernel,8.62,108,84.32,84.32,88.55,100,0,61.82
559,vectorized_elementwise_kernel,6.49,108,86.34,86.34,91.92,100,27.51,44.10
560,ampere_sgemm_128x32_tn,89.13,108,80.36,2.44,45.63,50,0.13,96.85
561,ampere_sgemm_64x32_sliced1x4_nt,92.96,108,53.01,6.38,23.89,25,0.08,82.83
562,reduce_kernel,11.77,108,57.72,57.72,57.87,62.50,4.91,21.04
563,vectorized_elementwise_kernel,0.04,108,0.62,0.21,6.18,100,0,82.93
564,vectorized_elementwise_kernel,7.34,108,43.41,36.38,72.67,100,0,50.92
565,layer_norm_grad_input_kernel_vectorized,37.47,108,65.57,65.57,65.18,75,44.64,53.65
566,GammaBetaBackwardCUDAKernel_32x32,12.29,108,38.29,38.29,49.91,100,0.09,18.84
567,vectorized_elementwise_kernel,6.59,108,72.40,72.40,88.44,100,29.07,40.37
568,vectorized_elementwise_kernel,0.02,108,0.47,0.09,6.19,100,0,89.29
569,vectorized_elementwise_kernel,0.02,108,0.46,0.09,6.20,100,0,90.40
570,vectorized_elementwise_kernel,15.31,108,68.79,68.79,84.94,100,0,54.62
571,ampere_sgemm_128x32_tn,87.79,108,80.23,2.46,45.64,50,0.52,97.44
572,ampere_sgemm_64x32_sliced1x4_nt,82.30,108,46.90,5.98,20.85,25,0.08,81.55
573,reduce_kernel,9.43,108,32.05,32.05,41.93,62.50,8.32,6.71
574,vectorized_elementwise_kernel,0.02,108,0.47,0.09,6.21,100,0,90.65
575,vectorized_elementwise_kernel,3.99,108,23.10,18.63,42.24,100,0,53.20
576,vectorized_elementwise_kernel,6.55,108,74.60,74.60,88.25,100,0,46.21
577,reduce_kernel,75.83,108,24.02,24.02,90.11,100,10.44,8.60
578,elementwise_kernel,6.11,108,12.43,3.20,20.47,100,0,86.81
579,vectorized_elementwise_kernel,14.51,108,24.17,4.42,9.02,100,0,98.14
580,fmha_cutlassB_f32_aligned_64x64_k64_dropout_sm80,37.29,108,30.39,11.25,12.16,12.50,17.04,81.78
581,CatArrayBatchedCopy_aligned16_contig,58.32,108,75.42,75.42,90.87,100,60.00,62.90
582,ampere_sgemm_128x32_tn,88.65,108,80.04,2.25,45.65,50,0.18,97.39
583,ampere_sgemm_128x32_sliced1x4_nt,98.07,108,40.39,4.94,12.50,12.50,0,84.76
584,reduce_kernel,12.24,108,49.95,49.95,55.89,62.50,6.38,20.05
585,vectorized_elementwise_kernel,0.04,108,0.55,0.16,6.20,100,0,85.79
586,vectorized_elementwise_kernel,6.40,108,31.92,31.92,66.48,100,0,52.40
587,layer_norm_grad_input_kernel_vectorized,37.75,108,65.57,65.57,65.10,75,44.63,53.46
588,GammaBetaBackwardCUDAKernel_32x32,12.20,108,38.27,38.27,49.91,100,0.09,18.78
589,vectorized_elementwise_kernel,6.54,108,71.84,71.84,88.46,100,28.30,40.76
590,vectorized_elementwise_kernel,0.02,108,0.50,0.09,6.19,100,0,90.47
591,vectorized_elementwise_kernel,0.02,108,0.47,0.09,6.19,100,0,90.07
592,vectorized_elementwise_kernel,15.63,108,67.92,67.92,84.73,100,0,54.01
593,reduce_kernel,11.26,108,50.25,50.25,42.66,62.50,15,21.32
594,vectorized_elementwise_kernel,5.73,108,27.46,0.03,32.24,100,0,99.97
595,embedding_backward_feature_kernel,4.90,108,4.24,4.24,49.83,100,32.65,39.95
596,vectorized_elementwise_kernel,4.58,108,27.66,22.51,46.78,100,0,53.47
597,elementwise_kernel_with_index,0.42,108,1.55,0.04,3.61,100,0,98.36
598,DeviceRadixSortHistogramKernel,24.39,108,13.29,0.49,36.06,43.75,0,59.25
599,DeviceRadixSortExclusiveSumKernel,0.15,108,0.64,0.26,12.38,100,50,80.59
600,DeviceRadixSortOnesweepKernel,0.85,108,0.97,0.48,18.65,18.75,9.46,67.69
601,DeviceRadixSortOnesweepKernel,0.93,108,0.86,0.53,18.67,18.75,8.85,70.73
602,DeviceRadixSortOnesweepKernel,0.63,108,0.94,0.59,18.31,18.75,1.11,70.05
603,DeviceRadixSortOnesweepKernel,0.62,108,0.94,0.59,18.24,18.75,1.11,67.28
604,DeviceRadixSortOnesweepKernel,0.63,108,0.95,0.59,18.22,18.75,1.11,66.08
605,DeviceRadixSortOnesweepKernel,0.63,108,0.94,0.59,18.27,18.75,1.11,66.96
606,DeviceRadixSortOnesweepKernel,0.63,108,0.94,0.59,18.22,18.75,1.11,60.43
607,DeviceRadixSortOnesweepKernel,0.62,108,0.94,0.59,18.31,18.75,1.11,76.37
608,vectorized_elementwise_kernel,13.31,108,88.00,72.35,72.90,100,0,100.23
609,DeviceCompactInitKernel,0.01,108,0.44,0.04,6.08,100,0,94.63
610,DeviceUniqueByKeySweepKernel,0.49,108,1.11,0.71,3.12,62.50,3.45,67.98
611,krn_partials_per_segment,0.34,108,0.57,0.13,3.33,50,39.92,87.29
612,DeviceScanInitKernel,0.01,108,0.48,0.04,6.02,100,0,94.67
613,DeviceScanKernel,0.39,108,1.09,0.66,6.22,75,0.11,70.51
614,compute_num_of_partial_segments,0.00,108,0.41,0.04,1.56,50,0,95.15
615,krn_partial_segment_offset,0.35,108,0.62,0.27,3.32,50,24.41,78.60
616,compute_grad_weight,48.80,108,23.12,20.37,56.64,75,34.00,17.35
617,sum_and_scatter,47.44,108,18.65,3.85,56.10,75,57.46,49.57
618,vectorized_elementwise_kernel,8.41,108,85.65,85.65,88.77,100,0,62.12
